年,月,日,品目コード,品目名,価格
2021,11,22,47213,アンデス,462
2021,11,24,47213,アンデス,484
2021,11,25,47213,アンデス,520
2021,11,26,47213,アンデス,509
2021,11,27,47213,アンデス,490
2021,11,29,47213,アンデス,577
2021,11,30,47213,アンデス,661
2021,11,22,47299,その他メロン,587
2021,11,24,47299,その他メロン,616
2021,11,25,47299,その他メロン,646
2021,11,26,47299,その他メロン,632
2021,11,27,47299,その他メロン,656
2021,11,29,47299,その他メロン,661
2021,11,30,47299,その他メロン,627
2021,11,22,48100,すいか,323
2021,11,24,48100,すいか,385
2021,11,25,48100,すいか,362
2021,11,26,48100,すいか,350
2021,11,27,48100,すいか,476
2021,11,29,48100,すいか,402
2021,11,30,48100,すいか,445
2021,11,22,49300,キウイフルツ,579
2021,11,24,49300,キウイフルツ,558
2021,11,25,49300,キウイフルツ,574
2021,11,26,49300,キウイフルツ,588
2021,11,27,49300,キウイフルツ,608
2021,11,29,49300,キウイフルツ,624
2021,11,30,49300,キウイフルツ,697
2021,11,22,49500,他の国産果実,780
2021,11,24,49500,他の国産果実,782
2021,11,25,49500,他の国産果実,1132
2021,11,26,49500,他の国産果実,1301
2021,11,27,49500,他の国産果実,1152
2021,11,29,49500,他の国産果実,888
2021,11,30,49500,他の国産果実,983
2021,11,22,50000,輸入果実計,242
2021,11,24,50000,輸入果実計,237
2021,11,25,50000,輸入果実計,237
2021,11,26,50000,輸入果実計,243
2021,11,27,50000,輸入果実計,243
2021,11,29,50000,輸入果実計,226
2021,11,30,50000,輸入果実計,259
2021,11,22,50100,バナナ,163
2021,11,24,50100,バナナ,159
2021,11,25,50100,バナナ,159
2021,11,26,50100,バナナ,165
2021,11,27,50100,バナナ,168
2021,11,29,50100,バナナ,164
2021,11,30,50100,バナナ,161
2021,11,22,50300,パイナップル,179
2021,11,24,50300,パイナップル,180
2021,11,25,50300,パイナップル,187
2021,11,26,50300,パイナップル,179
2021,11,27,50300,パイナップル,192
2021,11,29,50300,パイナップル,190
2021,11,30,50300,パイナップル,184
2021,11,22,50400,レモン,300
2021,11,24,50400,レモン,292
2021,11,25,50400,レモン,275
2021,11,26,50400,レモン,297
2021,11,27,50400,レモン,302
2021,11,29,50400,レモン,336
2021,11,30,50400,レモン,285
2021,11,22,50500,グレプフルツ,186
2021,11,24,50500,グレプフルツ,170
2021,11,25,50500,グレプフルツ,191
2021,11,26,50500,グレプフルツ,204
2021,11,27,50500,グレプフルツ,191
2021,11,29,50500,グレプフルツ,185
2021,11,30,50500,グレプフルツ,204
2021,11,22,50600,オレンジ,262
2021,11,24,50600,オレンジ,255
2021,11,25,50600,オレンジ,252
2021,11,26,50600,オレンジ,248
2021,11,27,50600,オレンジ,254
