年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,30,火,しょうが,37200,熊　本,043,932,842,,
2021,11,30,火,しょうが,37200,千　葉,012,329,559,,
2021,11,30,火,しょうが,37200,愛　媛,038,300,670,,
2021,11,30,火,　　うち輸入,37201,,,5955,384,106.4,97.0
2021,11,30,火,生しいたけ,38100,,,77315,955,84.4,103.1
2021,11,30,火,生しいたけ,38100,徳　島,036,16515,948,,
2021,11,30,火,生しいたけ,38100,秋　田,005,9029,1140,,
2021,11,30,火,生しいたけ,38100,岩　手,003,8236,899,,
2021,11,30,火,生しいたけ,38100,千　葉,012,5284,820,,
2021,11,30,火,生しいたけ,38100,長　崎,042,3739,1039,,
2021,11,30,火,　　うち輸入,38101,,,1277,610,132.2,99.7
2021,11,30,火,なめこ,38300,,,25620,442,108.0,100.9
2021,11,30,火,なめこ,38300,長　野,020,8723,424,,
2021,11,30,火,なめこ,38300,山　形,006,3271,466,,
2021,11,30,火,なめこ,38300,三　重,024,2733,501,,
2021,11,30,火,なめこ,38300,大　分,044,2118,472,,
2021,11,30,火,なめこ,38300,新　潟,015,1623,438,,
2021,11,30,火,えのきだけ,38400,,,167579,262,91.5,104.4
2021,11,30,火,えのきだけ,38400,長　野,020,114252,271,,
2021,11,30,火,えのきだけ,38400,新　潟,015,17077,228,,
2021,11,30,火,えのきだけ,38400,大　分,044,8172,232,,
2021,11,30,火,しめじ,38500,,,98333,488,114.0,104.9
2021,11,30,火,しめじ,38500,長　野,020,59555,462,,
2021,11,30,火,しめじ,38500,福　岡,040,15042,404,,
2021,11,30,火,しめじ,38500,新　潟,015,4821,576,,
2021,11,30,火,その他の野菜,39000,,,284107,758,124.8,87.2
2021,11,30,火,輸入野菜計,39100,,,183207,316,82.7,106.8
2021,11,30,火,他の輸入野菜,39200,,,54417,478,101.6,93.2
